Preparing samples for split: train
Total sequences for split 'train': 8491
Preparing samples for split: val
Total sequences for split 'val': 1991
Epoch 0 | Train Loss: 1.0140 | Train Acc: 0.4334 | Val Loss: 1.0102 | Val Acc: 0.4174
Epoch 1 | Train Loss: 1.0103 | Train Acc: 0.4265 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 2 | Train Loss: 1.0092 | Train Acc: 0.4186 | Val Loss: 1.0071 | Val Acc: 0.4174
Epoch 3 | Train Loss: 1.0089 | Train Acc: 0.4173 | Val Loss: 1.0066 | Val Acc: 0.4370
Epoch 4 | Train Loss: 1.0086 | Train Acc: 0.4261 | Val Loss: 1.0081 | Val Acc: 0.4174
Epoch 5 | Train Loss: 1.0093 | Train Acc: 0.4254 | Val Loss: 1.0054 | Val Acc: 0.4174
Epoch 6 | Train Loss: 1.0091 | Train Acc: 0.4252 | Val Loss: 1.0098 | Val Acc: 0.4174
Epoch 7 | Train Loss: 1.0092 | Train Acc: 0.4243 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 8 | Train Loss: 1.0084 | Train Acc: 0.4229 | Val Loss: 1.0065 | Val Acc: 0.4370
Epoch 9 | Train Loss: 1.0088 | Train Acc: 0.4247 | Val Loss: 1.0061 | Val Acc: 0.4174
Epoch 10 | Train Loss: 1.0086 | Train Acc: 0.4325 | Val Loss: 1.0089 | Val Acc: 0.4174
Epoch 11 | Train Loss: 1.0084 | Train Acc: 0.4289 | Val Loss: 1.0056 | Val Acc: 0.4370
Epoch 12 | Train Loss: 1.0084 | Train Acc: 0.4305 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 13 | Train Loss: 1.0086 | Train Acc: 0.4209 | Val Loss: 1.0050 | Val Acc: 0.4370
Epoch 14 | Train Loss: 1.0089 | Train Acc: 0.4183 | Val Loss: 1.0057 | Val Acc: 0.4370
Epoch 15 | Train Loss: 1.0084 | Train Acc: 0.4230 | Val Loss: 1.0055 | Val Acc: 0.4370
Epoch 16 | Train Loss: 1.0085 | Train Acc: 0.4281 | Val Loss: 1.0050 | Val Acc: 0.4370
Epoch 17 | Train Loss: 1.0084 | Train Acc: 0.4336 | Val Loss: 1.0050 | Val Acc: 0.4370
Epoch 18 | Train Loss: 1.0083 | Train Acc: 0.4280 | Val Loss: 1.0066 | Val Acc: 0.4174
Epoch 19 | Train Loss: 1.0081 | Train Acc: 0.4270 | Val Loss: 1.0048 | Val Acc: 0.4370
Epoch 20 | Train Loss: 1.0086 | Train Acc: 0.4307 | Val Loss: 1.0051 | Val Acc: 0.4370
Epoch 21 | Train Loss: 1.0088 | Train Acc: 0.4230 | Val Loss: 1.0051 | Val Acc: 0.4370
Epoch 22 | Train Loss: 1.0087 | Train Acc: 0.4249 | Val Loss: 1.0055 | Val Acc: 0.4370
Epoch 23 | Train Loss: 1.0080 | Train Acc: 0.4239 | Val Loss: 1.0055 | Val Acc: 0.4370
Epoch 24 | Train Loss: 1.0084 | Train Acc: 0.4253 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 25 | Train Loss: 1.0083 | Train Acc: 0.4180 | Val Loss: 1.0062 | Val Acc: 0.4370
Epoch 26 | Train Loss: 1.0082 | Train Acc: 0.4286 | Val Loss: 1.0057 | Val Acc: 0.4370
Epoch 27 | Train Loss: 1.0081 | Train Acc: 0.4308 | Val Loss: 1.0100 | Val Acc: 0.4174
Epoch 28 | Train Loss: 1.0087 | Train Acc: 0.4270 | Val Loss: 1.0085 | Val Acc: 0.4174
Epoch 29 | Train Loss: 1.0087 | Train Acc: 0.4212 | Val Loss: 1.0048 | Val Acc: 0.4370
Epoch 30 | Train Loss: 1.0079 | Train Acc: 0.4293 | Val Loss: 1.0050 | Val Acc: 0.4370
Epoch 31 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 32 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 33 | Train Loss: 1.0079 | Train Acc: 0.4255 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 34 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 35 | Train Loss: 1.0078 | Train Acc: 0.4281 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 36 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 37 | Train Loss: 1.0079 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 38 | Train Loss: 1.0078 | Train Acc: 0.4249 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 39 | Train Loss: 1.0080 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 40 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 41 | Train Loss: 1.0077 | Train Acc: 0.4249 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 42 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 43 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 44 | Train Loss: 1.0078 | Train Acc: 0.4277 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 45 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 46 | Train Loss: 1.0080 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 47 | Train Loss: 1.0079 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 48 | Train Loss: 1.0078 | Train Acc: 0.4257 | Val Loss: 1.0053 | Val Acc: 0.4370
