Preparing samples for split: train
Total sequences for split 'train': 26143
Preparing samples for split: val
Total sequences for split 'val': 1827
Epoch 0 | Train Loss: 84.3699 | Train Acc: 0.5993 | Val Loss: 227.9745 | Val Acc: 0.4784
Epoch 1 | Train Loss: 42.8227 | Train Acc: 0.8219 | Val Loss: 5.0978 | Val Acc: 0.9819
Epoch 2 | Train Loss: 18.8673 | Train Acc: 0.9527 | Val Loss: 193.2463 | Val Acc: 0.7526
Epoch 3 | Train Loss: 10.3032 | Train Acc: 0.9816 | Val Loss: 0.0018 | Val Acc: 1.0000
Epoch 4 | Train Loss: 7.7951 | Train Acc: 0.9870 | Val Loss: 6.4865 | Val Acc: 0.9907
Epoch 5 | Train Loss: 5.7316 | Train Acc: 0.9908 | Val Loss: 2.1577 | Val Acc: 0.9978
Epoch 6 | Train Loss: 5.3082 | Train Acc: 0.9932 | Val Loss: 6.1133 | Val Acc: 0.9918
Epoch 7 | Train Loss: 4.8998 | Train Acc: 0.9930 | Val Loss: 0.0005 | Val Acc: 1.0000
Epoch 8 | Train Loss: 3.8027 | Train Acc: 0.9949 | Val Loss: 0.0246 | Val Acc: 1.0000
Epoch 9 | Train Loss: 3.1738 | Train Acc: 0.9956 | Val Loss: 16.9973 | Val Acc: 0.9841
Epoch 10 | Train Loss: 3.3298 | Train Acc: 0.9960 | Val Loss: 14.0921 | Val Acc: 0.9841
Epoch 11 | Train Loss: 2.4865 | Train Acc: 0.9965 | Val Loss: 10.9106 | Val Acc: 0.9847
Epoch 12 | Train Loss: 2.4650 | Train Acc: 0.9975 | Val Loss: 2.9884 | Val Acc: 0.9945
